Area,count,mean,std,min,25%,50%,75%,max
Afghanistan,708.0,1.3359999999999999,0.5287477774554458,0.585,0.9055,1.3505,1.513,2.597
Africa,708.0,0.3579166666666666,0.0751379879450969,0.292,0.304,0.315,0.38549999999999995,0.488
Albania,708.0,1.2426666666666666,0.2868253028607316,0.715,1.179,1.2200000000000002,1.31025,1.939
Algeria,708.0,0.9233333333333333,0.2866043883755359,0.438,0.70175,0.9764999999999999,1.1400000000000001,1.362
American Samoa,640.0,0.39073125,0.05563436659546753,0.322,0.334,0.384,0.429,0.498
Americas,708.0,0.4508333333333334,0.16901968924137037,0.269,0.32125000000000004,0.393,0.5467500000000001,0.823
Andorra,708.0,1.3435,0.32815878060773807,1.006,1.1792500000000001,1.259,1.42475,2.295
Angola,708.0,0.35908333333333337,0.07105308177020125,0.267,0.2975,0.347,0.41250000000000003,0.464
Anguilla,708.0,0.40225,0.0976387182777954,0.241,0.3205,0.40049999999999997,0.47724999999999995,0.554
Annex I countries,708.0,0.547,0.23572331730157825,0.286,0.35125,0.4625,0.72475,1.012
Antarctica,708.0,1.5570833333333334,0.3956933471917198,1.084,1.15975,1.524,1.88325,2.216
Antigua and Barbuda,676.0,0.40266124260355024,0.10345009478223617,0.267,0.305,0.37,0.48724999999999996,0.58
Argentina,708.0,0.9146666666666666,0.23354319988826472,0.618,0.76375,0.878,1.0105,1.424
Armenia,0.0,,,,,,,
Aruba,653.0,0.55468606431853,0.08570899405154131,0.429,0.508,0.565,0.623,0.705
Asia,708.0,0.45149999999999996,0.25821423240426633,0.187,0.243,0.384,0.5725,1.093
Australia,708.0,0.6758333333333334,0.09015885974528784,0.519,0.601,0.7004999999999999,0.727,0.84
Australia and New Zealand,708.0,0.6441666666666668,0.10672031374294998,0.467,0.57925,0.6425000000000001,0.719,0.833
Austria,708.0,1.5654999999999997,0.5360073504847593,1.004,1.201,1.3889999999999998,1.93875,2.924
Azerbaijan,0.0,,,,,,,
Bahamas,708.0,0.5843333333333333,0.29133159954904286,0.205,0.3465,0.5285,0.788,1.118
Bahrain,708.0,0.9388333333333333,0.29604012766853877,0.388,0.8175,0.907,1.20275,1.346
Bangladesh,708.0,0.5955,0.18147892751375222,0.321,0.43025,0.5934999999999999,0.75125,0.899
Barbados,664.0,0.44950753012048195,0.11358734263889973,0.261,0.383,0.457,0.593,0.601
Belarus,0.0,,,,,,,
Belgium,0.0,,,,,,,
