,Area,count,mean,std,min,25%,50%,75%,max
0,Afghanistan,708.0,0.4360367231638418,1.3999037100879332,-7.722,-0.32725000000000004,0.4955,1.258,4.725
1,Africa,708.0,0.4921468926553672,0.5762872347862661,-1.202,0.065,0.489,0.921,2.412
2,Albania,708.0,0.48503531073446327,1.4551222806523734,-4.322,-0.452,0.4765,1.43225,4.878
3,Algeria,708.0,0.7160621468926553,1.2177508816300655,-2.68,-0.18575,0.7175,1.5775000000000001,4.305
4,American Samoa,640.0,0.43210468750000003,0.6717819085725278,-2.114,-0.0155,0.35,0.87525,3.557
5,Americas,708.0,0.48503248587570624,0.6991262785782127,-2.296,-0.006500000000000001,0.4315,0.949,2.727
6,Andorra,708.0,0.6998531073446327,1.5077928081691359,-4.54,-0.2175,0.637,1.75,5.696
7,Angola,708.0,0.4146709039548022,0.6495039455435913,-1.204,-0.05225,0.3435,0.8325,2.814
8,Anguilla,708.0,0.2586850282485876,0.4847862136341154,-1.209,-0.096,0.248,0.59275,2.153
9,Annex I countries,708.0,0.6044661016949153,0.8626483056690065,-2.405,0.00575,0.5475000000000001,1.116,4.039
10,Antarctica,708.0,0.1590141242937853,1.7237559299869412,-5.025,-0.97425,0.0785,1.28275,6.738
11,Antigua and Barbuda,676.0,0.26229142011834317,0.50244221571608,-1.297,-0.0965,0.2815,0.582,2.315
12,Argentina,708.0,0.26578672316384183,0.8857424672213239,-2.619,-0.26725,0.2525,0.831,3.153
13,Armenia,336.0,1.0791934523809525,1.7014213850861997,-4.511,0.049999999999999996,1.1215000000000002,2.33925,5.676
14,Aruba,653.0,0.42372741194486985,0.667648519217777,-1.475,-0.024,0.384,0.903,2.891
15,Asia,708.0,0.47481920903954805,0.7162486360972098,-2.011,-0.01525,0.375,0.9392499999999999,3.25
16,Australia,708.0,0.43804802259887005,0.7709950369840755,-1.477,-0.11625,0.4125,0.9404999999999999,3.107
17,Australia and New Zealand,708.0,0.43239124293785314,0.7508820034221313,-1.421,-0.09125,0.41,0.9137500000000001,3.031
18,Austria,708.0,0.7512994350282487,1.7837692528891513,-5.299,-0.44475,0.7424999999999999,1.9095,5.623
19,Azerbaijan,336.0,1.094125,1.6009097383358337,-5.393,0.11425,1.1665,2.1877500000000003,5.959
20,Bahamas,708.0,0.4283079096045197,0.7909688443266794,-3.402,-0.01175,0.3965,0.855,3.566
21,Bahrain,708.0,0.7035677966101695,1.2876711727554324,-3.593,-0.08175,0.7364999999999999,1.588,4.334
22,Bangladesh,708.0,0.22768079096045193,0.7471803724630343,-2.453,-0.229,0.2205,0.65825,3.877
23,Barbados,664.0,0.3473885542168675,0.6033256248347324,-1.359,-0.069,0.3345,0.75825,2.517
24,Belarus,336.0,1.4129196428571429,2.3622976184849303,-6.897,-0.02825,1.3775,2.77975,7.76
25,Belgium,240.0,1.429325,1.5574132193397032,-4.067,0.39175000000000004,1.4295,2.4429999999999996,5.866
26,Belgium-Luxembourg,468.0,0.28121794871794875,1.7017557363586633,-6.705,-0.71275,0.251,1.31925,5.119
27,Belize,708.0,0.5019901129943503,0.9617530191139565,-2.061,-0.18125,0.288,1.1564999999999999,3.982
28,Benin,708.0,0.528665254237288,0.6767200930903086,-1.843,0.04375,0.5505,1.024,2.286
29,Bhutan,708.0,0.35795903954802266,0.850985143242824,-2.091,-0.2225,0.3355,0.87375,3.514
30,Bolivia (Plurinational State of),708.0,0.458997175141243,0.7726799392602016,-1.876,-0.03225,0.4785,0.9315,3.433
31,Bosnia and Herzegovina,336.0,1.1901755952380952,1.6404632715162124,-4.426,0.23625,1.215,2.2275,5.098
32,Botswana,708.0,0.3683022598870057,1.0185989291092146,-2.692,-0.32625000000000004,0.334,1.04025,3.302
33,Brazil,708.0,0.5517485875706214,0.6281449386891779,-1.384,0.06075,0.499,0.9795,2.422
34,British Virgin Islands,708.0,0.24954237288135592,0.4963189957933397,-1.115,-0.10625,0.258,0.5925,1.999
35,Brunei Darussalam,708.0,0.3857090395480226,0.5192627485850495,-1.485,0.01275,0.334,0.734,2.34
36,Bulgaria,708.0,0.4494703389830509,1.665235199386131,-5.712,-0.556,0.4455,1.49475,6.249
37,Burkina Faso,708.0,0.5015155367231638,0.8198447992198119,-2.52,-0.05475,0.54,1.05475,3.034
38,Burundi,446.0,0.22832062780269055,0.6794301530855487,-2.866,-0.21,0.2005,0.61325,2.877
39,Cabo Verde,654.0,0.7508440366972478,0.8576785131933066,-3.405,0.14275,0.766,1.327,3.377
40,Cambodia,708.0,0.38033757062146895,0.6548212495878323,-2.063,-0.00775,0.3465,0.75025,2.672
41,Cameroon,708.0,0.4366807909604519,0.6451410949025389,-1.907,-0.01725,0.362,0.88025,2.667
42,Canada,708.0,0.6036807909604519,1.6209398132439978,-6.319,-0.3345,0.5505,1.451,6.144
43,Caribbean,708.0,0.493138418079096,0.5864082439913114,-1.241,0.057,0.469,0.894,2.475
44,Cayman Islands,615.0,0.46339837398373984,0.6828217505279797,-2.732,0.012,0.458,0.8955,2.891
45,Central African Republic,705.0,0.4271262411347517,0.7184262786447588,-2.638,-0.041,0.368,0.887,3.671
46,Central America,708.0,0.3821709039548022,0.6030962734274649,-1.532,-0.04775,0.3635,0.787,2.405
47,Central Asia,336.0,1.192949404761905,1.9977020560872352,-6.055,0.01775,1.1745,2.233,7.837
48,Chad,708.0,0.4529632768361582,0.9607578669930131,-3.518,-0.1225,0.5025,0.99525,4.376
49,Channel Islands,708.0,0.5358742937853107,1.308289532884803,-5.824,-0.21675,0.5495000000000001,1.34875,4.795
50,Chile,708.0,0.18474576271186444,0.5463134339247824,-1.467,-0.16425,0.189,0.54825,1.791
51,China,708.0,0.5285042372881356,0.9317959108630574,-2.788,-0.08625000000000001,0.482,1.07525,4.368
52,"China, Hong Kong SAR",708.0,0.3588771186440678,1.1641417599298718,-4.911,-0.3435,0.321,1.0735,6.141
53,"China, Macao SAR",708.0,0.3588771186440678,1.1641417599298718,-4.911,-0.3435,0.321,1.0735,6.141
54,"China, Taiwan Province of",708.0,0.3038700564971752,0.9244376631183917,-3.351,-0.30625,0.3235,0.87975,3.715
55,"China, mainland",708.0,0.5293771186440679,0.9333167652587432,-2.795,-0.08875,0.4845,1.0779999999999998,4.375
56,Christmas Island,487.0,0.3959363449691992,0.5402956800360573,-0.983,0.0395,0.402,0.722,2.078
57,Cocos (Keeling) Islands,707.0,0.2606492220650636,0.5471849372324649,-1.207,-0.1105,0.243,0.653,1.862
58,Colombia,708.0,0.36210028248587567,0.5377964652354291,-1.176,-0.029500000000000002,0.32,0.7082499999999999,2.135
59,Comoros,690.0,0.4269753623188406,0.6077308726859415,-0.935,0.03225,0.3825,0.789,2.465
60,Congo,701.0,0.33628102710413693,0.55676771719537,-1.161,-0.076,0.275,0.708,2.03
61,Cook Islands,674.0,0.3290237388724036,0.5776475344247654,-1.425,-0.07075,0.261,0.65525,2.583
62,Costa Rica,608.0,0.3538305921052632,0.6315129391714787,-1.207,-0.0985,0.284,0.79425,2.59
63,Croatia,336.0,1.2631964285714288,1.5956718652652704,-3.952,0.31575,1.29,2.366,4.979
64,Cuba,708.0,0.4800480225988702,0.7001398530401177,-2.291,0.0535,0.4855,0.92425,2.908
65,Cyprus,708.0,0.35890536723163835,1.181377773469885,-3.854,-0.4115,0.4005,1.14775,3.613
66,Czechia,324.0,1.3419938271604939,1.826841236666872,-3.664,0.1735,1.4595,2.522,6.192
67,Czechoslovakia,384.0,0.13654166666666667,1.787120841368488,-6.052,-0.861,0.1635,1.22275,5.302
68,Côte d'Ivoire,708.0,0.5216850282485875,0.5778716310828249,-1.202,0.0835,0.519,0.9145000000000001,2.331
69,Democratic People's Republic of Korea,708.0,0.546427966101695,1.3595854843618742,-4.374,-0.32175,0.5125,1.398,5.607
70,Democratic Republic of the Congo,708.0,0.35450847457627116,0.5455989363647157,-1.085,-0.03925,0.28,0.69875,2.008
71,Denmark,708.0,0.6533997175141243,1.809627609398082,-6.072,-0.3935,0.663,1.749,6.574
72,Djibouti,675.0,0.5295066666666667,0.853520663676892,-2.706,-0.047,0.44,1.0554999999999999,4.169
73,Dominica,705.0,0.2579588652482269,0.5103353033889328,-1.292,-0.071,0.245,0.61,2.259
74,Dominican Republic,708.0,0.538590395480226,0.6593298161975855,-1.393,0.039,0.537,0.99125,2.842
75,Eastern Africa,708.0,0.44776977401129947,0.5443138673983042,-0.975,0.06975,0.413,0.81225,2.469
76,Eastern Asia,708.0,0.5648248587570621,0.9988503520844574,-3.33,-0.0975,0.5205,1.1784999999999999,4.756
77,Eastern Europe,708.0,0.7596186440677967,1.4688432906525137,-4.352,-0.128,0.5705,1.4500000000000002,7.176
78,Ecuador,708.0,0.4451892655367231,0.6136515865245976,-1.169,-0.00625,0.4315,0.86725,2.25
79,Egypt,708.0,0.2605169491525424,1.1398215925291866,-3.303,-0.45675,0.2235,1.0305,3.811
80,El Salvador,708.0,0.4475918079096045,0.5762318985396463,-1.233,0.09925,0.464,0.8362499999999999,2.496
81,Equatorial Guinea,686.0,0.39855976676384836,0.5628644792222764,-1.338,-0.0255,0.3055,0.79925,2.245
82,Eritrea,302.0,1.0195695364238408,0.9825584848810499,-3.061,0.347,1.0095,1.61075,4.209
83,Estonia,336.0,1.4622470238095238,2.2853554702418286,-5.546,0.10375000000000001,1.4005,2.8925,7.594
