Year,count,mean,std,min,25%,50%,75%,max
1961,2931.0,0.13366291368133743,0.8752126518696678,-4.018,-0.301,0.052,0.435,5.771
1962,2937.0,-0.03126421518556351,0.8389308365764898,-5.391,-0.312,-0.033,0.288,4.366
1963,2927.0,-0.025384010932695596,1.0676855976029076,-8.483,-0.3405,0.029,0.401,4.666
1964,2914.0,-0.12940356897735072,0.8533974555251305,-7.309,-0.50675,-0.1295,0.259,5.233
1965,2929.0,-0.21136019119153296,0.7812821396664026,-4.728,-0.544,-0.191,0.134,5.144
1966,2964.0,0.09343083670715249,0.927674058364673,-8.147,-0.27425,0.0525,0.413,5.771
1967,2952.0,-0.1420260840108401,0.8000611169876105,-6.531,-0.488,-0.173,0.15,4.768
1968,2955.0,-0.15450829103214891,0.8366190431374202,-8.407,-0.521,-0.146,0.204,4.092
1969,2949.0,0.1010016954899966,0.9175553146402307,-6.784,-0.219,0.175,0.526,4.411
1970,2944.0,0.06872554347826086,0.7507037373947691,-5.847,-0.24625,0.083,0.4275,2.999
1971,2945.0,-0.1719018675721562,0.7886872612166007,-7.671,-0.525,-0.212,0.122,3.665
1972,2952.0,-0.0444969512195122,0.9182578443146538,-7.722,-0.403,-0.017,0.373,9.475
1973,2985.0,0.1822257956448911,0.8434441332831418,-4.896,-0.22,0.219,0.616,6.304
1974,2979.0,-0.12070996978851965,0.9008362090628517,-4.732,-0.505,-0.184,0.146,6.912
1975,2946.0,-0.03700339443312967,0.8238476077548653,-6.169,-0.45675,-0.122,0.24775,6.15
1976,2923.0,-0.20466164899076286,0.804112397768275,-4.263,-0.5625,-0.198,0.177,7.689
1977,2945.0,0.19463056027164682,0.8501911789578324,-6.495,-0.165,0.185,0.56,4.875
1978,2967.0,0.05525749915739805,0.7685548192587704,-8.228,-0.2455,0.095,0.395,5.956
1979,2956.0,0.22959844384303113,0.8235360365542601,-6.319,-0.0895,0.259,0.584,5.483
1980,2954.0,0.20584427894380503,0.777721277947834,-5.784,-0.06575,0.3075,0.614,4.519
1981,2947.0,0.22528842891075668,0.9034034960781444,-6.591,-0.1185,0.239,0.627,6.144
1982,2929.0,0.14799897575964494,0.8302506038728252,-4.55,-0.206,0.177,0.557,5.411
1983,2921.0,0.3512084902430675,0.9962537856839165,-6.101,-0.066,0.421,0.86,6.513
1984,2940.0,0.07353775510204083,0.8496912328349506,-5.437,-0.33025000000000004,0.08,0.48124999999999996,9.303
1985,2925.0,0.07955692307692308,0.9765210118148187,-8.411,-0.232,0.136,0.514,5.448
1986,2941.0,0.1339829989799388,0.9093008974810519,-6.345,-0.183,0.165,0.535,6.845
